strategy,annualized_return,annualized_volatility,sharpe_ratio,total_return
EF_1,0.1083008279037807,0.2372371157845053,0.3263731764819156,0.35969447921405195
EF_2,0.07203785688407982,0.1405157412332658,0.29295550574621826,0.2310359088221794
EF_3,0.11496343347693716,0.2629967191900145,0.3197394891089813,0.38426502720818334
Max_Sharpe,0.09344761391947998,0.17530762739605335,0.3569417828713652,0.30596657863485643
GMV,-0.003871224239851312,0.030686037035652626,-1.1322485547829908,-0.011523129304794266
Equal_Weights,0.08009011802306909,0.14905794814397702,0.33018783493347115,0.25887220483100504
Risk_Parity,0.029733037341265645,0.06839768576655338,-0.01666663852354351,0.09149677270960588
SPY,0.09987324131563735,0.17603913787821482,0.391959681815691,0.3290329080255061
