volatility,return
0.08472594002702913,-0.09222221348956015
0.06338549841793786,-0.06890859942515433
0.04289121245302185,-0.045594985394995645
0.025382848422972632,-0.02228137129745342
0.012800437186913803,0.001032242766029102
0.0013335919042427218,0.024345856831494424
0.001695619656831568,0.047659470895503646
0.0025531790627286387,0.07097308495848714
0.0035466591957864254,0.09428669903010783
0.004592075398804685,0.11760031309209912
0.005658510725020513,0.140913927147937
0.006748148715036049,0.16422754121801617
0.007817963065070975,0.1875411552776661
0.008908051338245604,0.21085476934058558
0.010009363608262309,0.23416838343167162
0.01113994408612423,0.25748199741930944
0.012361460880639722,0.2807956115026171
0.01364560371823995,0.304109225565091
0.01498250802214658,0.32742283964521807
0.019647374012594834,0.3507364525091133
