date,actual_volatility,garch_predicted,sv_predicted,weekly_return
2013-01-04,0.004392617252686575,0.004392617252686575,0.01477676757741971,0.0048249605021251085
2013-01-11,0.004389817941756999,0.0067471824647133555,0.014310594277387432,0.008521182570450092
2013-01-18,0.003134438477177154,0.008373320188394958,0.015486649570698913,0.012003057645825432
2013-01-25,0.002313747381981781,0.009850380460388736,0.018818130663113157,0.007354728683868439
2013-02-01,0.00569237310708608,0.010411999818044852,0.01769078891970993,0.003419903336817187
2013-02-08,0.007600404924828929,0.010694387826389184,0.01670103169172725,0.0026223587357774303
2013-02-15,0.0012988508234960596,0.010908793182279808,0.02034755659604637,-0.0020918345197115107
2013-02-22,0.010494035644439252,0.011250604427108096,0.021858515430099555,0.001638003958357448
2013-03-01,0.01175403618644622,0.01134732924067346,0.019688556245818098,0.022239279951510316
2013-03-08,0.002936468921202769,0.013681367872671775,0.020547945006657086,0.006974463675198717
2013-03-15,0.003263602106106676,0.013343857949433555,0.018601667014080673,-0.0018422002156367467
2013-03-22,0.007233605390150351,0.013120227552952213,0.01694864530360823,0.006542890918660893
2013-03-29,0.004746356946306967,0.012878595745793302,0.017140914447535613,-0.008832826436996566
2013-04-05,0.0060481433974552065,0.01343875485421097,0.0128517561398732,0.02314553895320648
2013-04-12,0.005471637222629079,0.015264556483458763,0.010086158456041175,-0.021368340440690914
2013-04-19,0.015581678276053272,0.01739904787871165,0.009453163202150276,0.018121151934498814
2013-04-26,0.004846307013126103,0.017341669034724116,0.00836069789944119,0.019685189983881912
2013-05-03,0.007520899185752262,0.017516950883040044,0.008961034424107648,0.012952458886036133
2013-05-10,0.003118092228740477,0.01685165325785765,0.00807061323152413,0.02173806700784775
2013-05-17,0.00645217947058547,0.017464443510524327,0.006826739367030186,-0.009833114847534907
2013-05-24,0.0034600955784886253,0.017107231255793234,0.008701046166359867,-0.011134968770718845
2013-05-31,0.009591145001639266,0.016983998873500473,0.008630310353414772,0.008034443841901329
2013-06-07,0.01110078491635327,0.01607240379086646,0.008919995215354807,-0.009660531291108332
2013-06-14,0.01024589365546486,0.015989345120736586,0.007481139032633361,-0.020241556620474443
2013-06-21,0.014728663968299398,0.01766604079547584,0.007173310225001797,0.006194744513210226
2013-06-28,0.01031302734299208,0.016564329881197486,0.007553162815728821,0.01883357846271516
2013-07-05,0.005943652270802321,0.016795042865720828,0.006654420864224478,0.02739334595520071
2013-07-12,0.005978411366128315,0.018468584028106912,0.007305721607364847,0.010392052070335556
2013-07-19,0.003811104837279049,0.017429339129678735,0.006961966596774019,-0.0007640557569437156
2013-07-26,0.0024734565019079234,0.016386707382726743,0.006947155885051006,0.01082215756755156
2013-08-02,0.005650869691051763,0.015758631859740854,0.006641984198880521,-0.009484516400734111
2013-08-09,0.003392351516442429,0.01572282255251085,0.008947916401805811,-0.020618919758617738
2013-08-16,0.006596608076579447,0.017556667707815863,0.009122611270273764,0.004918027172833517
2013-08-23,0.0069588934881691,0.016443071476107345,0.008037781144260155,-0.018741374686296774
2013-08-30,0.007659960627381872,0.017695911786191957,0.009268063783723407,0.015145658581411148
2013-09-06,0.0035794295925345374,0.017214664101715797,0.007974922549087514,0.019714111401903267
2013-09-13,0.004683905493436394,0.017423484716269016,0.008450810653386612,0.013456010975588795
2013-09-20,0.007409926051458702,0.01682320068192442,0.006605744026575206,-0.010379758009787743
2013-09-27,0.003036207641397803,0.016666084828749102,0.0057306403448676895,-0.0003538023156043346
2013-10-04,0.007537787735116435,0.015742560555181008,0.00620029990578195,0.008304413821043077
2013-10-11,0.013301611674086996,0.01507127790554488,0.00719239344799372,0.02412462019730599
2013-10-18,0.008141569535726713,0.016596385572207658,0.007635544372921953,0.009467965802940181
2013-10-25,0.0037666848011142368,0.015834609452413665,0.007758483886202211,0.001242658199227531
2013-11-01,0.004561905038636387,0.015018232549027684,0.007675150672334772,0.00615075374306584
2013-11-08,0.00972672583611237,0.014387654523605544,0.006454972792046884,0.01581589330618649
2013-11-15,0.004166365627262262,0.014708624597955564,0.00610167845780447,0.003975593494833118
2013-11-22,0.0052596975562027234,0.01408765149182825,0.0060014699746522016,0.0006600098402602672
2013-11-29,0.0016337625586622007,0.013610533149436008,0.007292022342013157,0.00016455535861870096
2013-12-06,0.006285189972447151,0.013242355739990656,0.0079208007870117,-0.015879633146673733
2013-12-13,0.005188933180527802,0.014876891916914358,0.006390465606147005,0.024734214839048363
2013-12-20,0.007976598517584413,0.016581144923582373,0.006985155359950088,0.013140153728323556
2013-12-27,0.002587789135798127,0.016116253783793055,0.006879164224680915,-0.005622158135445532
2014-01-03,0.005415957229618589,0.015605171479574468,0.00651317481581836,0.007067585534388909
2014-01-10,0.0032647956238941035,0.014899919464676344,0.007399003343735753,-0.002591301498137799
2014-01-17,0.009185787073720749,0.014406122355378019,0.008831003190427657,-0.0262516950903412
2014-01-24,0.011078961584918978,0.017978742603888515,0.010271263135127221,-0.0040575647427417705
2014-01-31,0.008869869278393791,0.017004340454866818,0.009252964072583204,0.009208959834853259
2014-02-07,0.014806926622393385,0.01615220450690407,0.009034433282876224,0.0236147045781141
2014-02-14,0.004084841422975363,0.01727483943840198,0.00965497768105246,-5.4354962333191814e-05
2014-02-21,0.0051154612356849585,0.016235993944403018,0.011230348017145007,0.012210783307762707
2014-02-28,0.002309647251730022,0.01575283364960502,0.010569889457497136,0.010996474965334846
2014-03-07,0.007810166699750251,0.015261369261178524,0.010403812205046254,-0.01921879050376407
2014-03-14,0.004622509783191478,0.01694784361168662,0.009024097922367077,0.013081714059110405
2014-03-21,0.00675200696100724,0.016404791470481475,0.007805684001332878,-0.004246132739551545
2014-03-28,0.005368501548994525,0.015730834695984915,0.009005886536325827,0.005360309819392617
2014-04-04,0.00807695734918429,0.014945941598879332,0.011094875036554491,-0.0264449452566643
2014-04-11,0.0128402844836916,0.01836598186472638,0.011057294948394395,0.02705347018632076
2014-04-18,0.003666070731369837,0.019532698723427767,0.01279290736855825,-0.000479662979749218
2014-04-25,0.005207460287802654,0.018129868088174805,0.013408304749101289,0.009656098910824529
2014-05-02,0.0024587211429960157,0.01710395362077021,0.012185260856116242,-0.0002642117110800424
2014-05-09,0.005284467160677108,0.016100964894924977,0.012813333426489503,0.00015831118348064166
2014-05-16,0.006931584100742487,0.01526214706281024,0.015804467568217344,0.012206764298579476
2014-05-23,0.005364033510770724,0.01497583759964848,0.015453757990341132,0.01211174717370378
2014-05-30,0.0032021893832970987,0.014740155698595858,0.018889434875129747,0.014184650353665784
2014-06-06,0.0029559754594497105,0.014775067173412856,0.012758075434477694,-0.006407837304350683
2014-06-13,0.004114888187565039,0.014610597885997176,0.01425460642722949,0.013820113951973578
2014-06-20,0.0028983664408484032,0.014632458961840084,0.014277373947965936,0.0005821264728713693
2014-06-27,0.003954303184888528,0.014052650664858925,0.0135541789967429,0.011406618467971974
2014-07-04,0.003662459243397307,0.013947059504333916,0.013631317260860996,-0.00806982670310108
2014-07-11,0.004536560606834476,0.014149496403703263,0.010274568839088897,0.005255381820607141
2014-07-18,0.008151626796338983,0.013658161529954896,0.010085017610920328,0.0003515490022334422
2014-07-25,0.0035015519309221934,0.013274505787268855,0.010735767301321118,-0.026480555646241966
2014-08-01,0.008551067415708779,0.017347484395663547,0.013290999648331494,0.003767595345785857
2014-08-08,0.008743818307607435,0.016254794196237956,0.012300084099802232,0.013112655553478625
2014-08-15,0.0032193369292390483,0.015852785171525677,0.010992331352736296,0.017459819889550365
2014-08-22,0.003584000669889221,0.016053632139084412,0.010328596758548473,0.007483299275438116
2014-08-29,0.002470803848193781,0.015284006651638319,0.01185970675108221,0.002326979221920711
2014-09-05,0.002738467298447769,0.014553735737936438,0.012437624116635957,-0.009633087175343946
2014-09-12,0.004292041915751874,0.01481103458643564,0.011544005280069809,0.011921384830318571
2014-09-19,0.003952422196233472,0.01459192785541991,0.01244272195878561,-0.013043939203747135
2014-09-26,0.010656768624485705,0.015339360503590646,0.012595822743852642,-0.007376223581648578
2014-10-03,0.008580079614233049,0.015153905087089341,0.014374777167823614,-0.03043140330164751
2014-10-10,0.014862258333458117,0.01951358544601026,0.01289977391016219,-0.010584611640340635
2014-10-17,0.011057120177935491,0.018832585348284223,0.012282305767372768,0.041682403638567456
2014-10-24,0.009690577881388758,0.023159553641080938,0.01162920019469828,0.026861711678090483
2014-10-31,0.006217190253224223,0.023129561805286653,0.009527710303148097,0.008719495315083758
2014-11-07,0.003657323469418235,0.0212426354792546,0.010096133644891835,0.004004876749008179
2014-11-14,0.001234659750595821,0.01952505224112135,0.0106047677142307,0.011966162717070405
2014-11-21,0.003262443356816022,0.018411287373788675,0.01071521406223699,0.002595458140298934
2014-11-28,0.0025043469750684103,0.017139082352371195,0.010465901058463139,0.004123255594539188
2014-12-05,0.005033101294103549,0.016085097395472047,0.008694082645805361,-0.034329920579657114
2014-12-12,0.009073599461331515,0.021116220214589483,0.008394232987324859,0.0334238873519892
2014-12-19,0.014864947634312122,0.022791456956783446,0.008212252650910072,0.009312541786989481
2014-12-26,0.0018426388943844011,0.020982590813642846,0.007550022685265428,-0.014867784511334858
2015-01-02,0.005330744502187065,0.02053521518313244,0.007629088818137804,-0.00522422358693353
2015-01-09,0.015234211872297931,0.01919622327886579,0.008330945602826798,-0.01288631831483078
2015-01-16,0.008953328312164622,0.018856162591478928,0.011103680611553719,0.0166997004287317
2015-01-23,0.008252906726704092,0.01831733285702506,0.011449913947974549,-0.026745250931811126
2015-01-30,0.010765991777809129,0.02067109857099027,0.011918496391290233,0.030268425667502763
2015-02-06,0.008679735453072117,0.02183905450933114,0.011816441260237672,0.020922642843036243
2015-02-13,0.006247869938508175,0.021225708947548667,0.009079671250287018,0.006910378472775092
2015-02-20,0.003120402606246146,0.019567005995371846,0.009231084973632989,-0.002491006076063229
2015-02-27,0.00226771893911699,0.01823497643893855,0.009487779718429859,-0.01522116632193471
2015-03-06,0.007530290478675121,0.018434366153061855,0.013577102066145163,-0.00818251995078012
2015-03-13,0.010835834776519898,0.01770994137283143,0.01312598571520199,0.02692145650660871
2015-03-20,0.008587053389076501,0.019029919883254538,0.013619562630723024,-0.02237559526838817
2015-03-27,0.006155699236589041,0.02027084252117652,0.013454834421541103,0.003186842853575511
2015-04-03,0.008867316552904445,0.018700028506664492,0.011369597560344695,0.017664556203727644
2015-04-10,0.0038769112297204643,0.01830784606656945,0.013385086146700748,-0.009790585232763105
2015-04-17,0.006430360805840554,0.01777532390541721,0.014762698111183772,0.017768493839363186
2015-04-24,0.0037819835463292536,0.01758997555594924,0.016261816928112773,-0.004505199901570944
2015-05-01,0.007957494591639634,0.0167150635267249,0.014061650755626681,0.00428993776199027
2015-05-08,0.009248708514796682,0.015736081849135632,0.016915070513497294,0.0041310162771575065
2015-05-15,0.006014889523316278,0.014928117096644622,0.013625622392257975,0.0025711557351479897
2015-05-22,0.002296047267929392,0.014261998275834993,0.014670524559305752,-0.008766435028268904
2015-05-29,0.008745150451504794,0.014476529961774919,0.019624968689417356,-0.006538683757671748
2015-06-05,0.00427275502298337,0.014389486324355988,0.01656699005596083,0.0010418827273876996
2015-06-12,0.007872134896127867,0.01384489302079062,0.015003706355454099,0.00681139855188051
2015-06-19,0.006647382739540394,0.013467181876655899,0.015001588871140057,-0.0023992497482594466
2015-06-26,0.005250116399385915,0.013251088736317296,0.013797556136669975,-0.01221787931960061
2015-07-03,0.012570448890950318,0.014222305911865572,0.011039508696471497,0.0009583641392523212
2015-07-10,0.01112306708467227,0.013711713070829962,0.011222236279617576,0.023900147945910888
2015-07-17,0.004714198525588468,0.015605842142377155,0.009743227981601023,-0.021189982285694797
2015-07-24,0.004101827096021585,0.017595164784681542,0.010565346630232711,0.011995015017814081
2015-07-31,0.007233053679430428,0.016832143903043478,0.00939469491382282,-0.012183583197935666
2015-08-07,0.0042059537720078016,0.016909380112772314,0.011854440964802548,0.006932172988482366
2015-08-14,0.007835105569626334,0.01596347259371729,0.010657880441414405,-0.05611735676776364
2015-08-21,0.014620967851851862,0.027685165340063767,0.0102882969886767,0.008399482981314987
2015-08-28,0.03164012477398819,0.025115775514665605,0.011651000425857429,-0.034017968654103226
2015-09-04,0.0186782557031989,0.027051708195851946,0.009856903193544557,0.021996915160100494
2015-09-11,0.016242025158391037,0.025591256199614935,0.010322241154770371,-0.0018694714562408343
2015-09-18,0.011580803144721768,0.023306081873252588,0.012513762913499208,-0.013255847101393048
2015-09-25,0.006464692640051819,0.022209994166669595,0.010000045328207882,0.011452161440250519
2015-10-02,0.017273995459957458,0.020610105271230857,0.010400009084196311,0.03279461633778791
2015-10-09,0.008415461652296332,0.022297641597864744,0.01090017616887818,0.009036925901556359
2015-10-16,0.00873659633721069,0.02055291316703713,0.012241671269689607,0.021191283881156986
2015-10-23,0.009275030345014056,0.020238740451737142,0.01031315206161628,0.0018690077891601042
2015-10-30,0.006219188344081847,0.018678087016803808,0.008689240527438979,0.010476040360497985
2015-11-06,0.0059451061504852505,0.017607635524485733,0.00955986865968187,-0.035836521125562015
2015-11-13,0.00657253802105955,0.022438289512364692,0.010129102270363392,0.034124162922574364
2015-11-20,0.008544823094719097,0.023893238799091842,0.010621489381196083,0.00042752844329707607
2015-11-27,0.0014527758684302694,0.02179837354592447,0.011250447392513699,0.00042691399125116547
2015-12-04,0.014164835894280997,0.020017521081851664,0.010297056669767846,-0.03752391627252527
2015-12-11,0.008015524238024896,0.024385290947080675,0.010758328941140087,-0.003301769914758279
2015-12-18,0.015113237339278846,0.0223326553137645,0.011301617759410132,0.028654678788008647
2015-12-25,0.006339399049386177,0.02278996668643868,0.010291653714339433,-0.008563810786026416
2016-01-01,0.00959700565797901,0.021323057785517147,0.013483055051453164,-0.05876880954538244
