Date,EF_1,EF_2,EF_3,Max_Sharpe,GMV,Equal_Weights,Risk_Parity,SPY
2021-01-04,-0.00437492574613341,-0.003765575719518703,-0.02122117624839911,-0.005870198217856483,0.0002482229881420904,-0.012722938213352866,-0.002161787936687206,-0.013614024049309004
2021-01-05,0.018682337582442622,0.003213084881993229,0.007290596209570354,0.004428758130695537,-0.0008217518659924375,0.010605506487957085,0.0027536293225472,0.006887361741870768
2021-01-06,0.011727265340606923,-0.014645755591296298,-0.026669458543018477,-0.01881201776195025,-6.502590041849174e-05,0.0011410859101141577,-0.0011184436298357794,0.005978620090130393
2021-01-07,0.010606999305660055,0.007285313239452322,0.021278437887380618,0.010471099830447346,0.00043152851251252936,0.009017838563346502,0.002866460120773616,0.014857458281355429
2021-01-08,0.01252995081770135,-0.003934939000468317,0.0071660878373956275,-0.004150687585908101,-0.00037808134191212703,0.004452885986824716,-0.0016249520476670802,0.005697751208084023
2021-01-11,-0.01991575972296212,-0.009252157752877651,-0.018050040344626865,-0.011398169971863013,-0.0013088596496685053,-0.008300884360312788,-0.004052773777546453,-0.006740939468514839
2021-01-12,0.023204782346840376,-0.0009556980092506376,-0.0035213640380953736,-0.001678043749582405,0.0008126845384022704,0.00314272482038519,0.0014739312726461465,0.0002111344829702766
2021-01-13,-0.016475878557388277,0.00442749511246989,0.012276657194730948,0.005545084747456352,0.0009746310414744184,0.0003033923947021455,0.0005277748387198999,0.0026931922766881833
2021-01-14,0.0234823715159794,-0.007591088210393999,-0.01396436725013307,-0.00974210271662694,0.00013744478097628028,0.0018960962841890888,0.00039409626138224867,-0.003502241952741403
2021-01-15,-0.03405960324231812,-0.007683151968326345,-0.008126317793030914,-0.009373522218856907,-0.00013915040695930002,-0.010914328025886669,-0.004664255292383398,-0.007292335524871185
2021-01-19,0.001376802819655623,0.007244532756516931,0.009474706098186656,0.009012313300501793,0.00028010128288890197,0.007447667802872912,0.0037263123001456656,0.007851721085814223
2021-01-20,0.00021012658929013973,0.021178703330407975,0.03647618608306301,0.026716752704431555,0.000728907043409649,0.013084190285599803,0.006855217629755333,0.013838778708537669
