Date,EF_1,EF_2,EF_3,Max_Sharpe,GMV,Equal_Weights,Risk_Parity,SPY
2021-01-04,-0.004374925746133407,-0.0037655757195187434,-0.021221176248399143,-0.005870198217856504,0.00024822298814219934,-0.012722938213352908,-0.0021617879366871984,-0.013614024049309004
2021-01-05,0.014225677996621666,-0.0005645899519419739,-0.014085295065947911,-0.0014674377752471601,-0.0005737328555539545,-0.002252364929163364,0.0005858886232084082,-0.006820427015828301
2021-01-06,0.026119771637745037,-0.015202076696792854,-0.040379106416138955,-0.020251850071704935,-0.0006387214484768755,-0.001113849160934266,-0.0005332102900258429,-0.0008825836676780163
2021-01-07,0.03700382334303076,-0.008027515347966863,-0.01995987283658196,-0.009992809385109602,-0.00020746856248099466,0.007893944890495108,0.002331721404715381,0.013961761663655148
2021-01-08,0.0499974302472872,-0.011930866565215581,-0.012936819201156524,-0.014102019941154564,-0.0005854714644005776,0.012381981713903478,0.0007029804215770152,0.0197390635161252
2021-01-11,0.02908593371675461,-0.021072638058503346,-0.03075334943727137,-0.025339452692781705,-0.001893564814093307,0.003978315955232237,-0.0033526423765880553,0.012865064215282995
2021-01-12,0.05296564882484689,-0.02200819698951184,-0.03416641973660728,-0.026974975732155126,-0.0010824191465379496,0.0071335435279134,-0.0018836526683867483,0.013078914956934806
2021-01-13,0.03561711466970707,-0.017678143061647278,-0.02230921196455382,-0.02157946951119416,-0.00010884306436365065,0.007439100185469227,-0.0013568719741502422,0.01580733126637246
2021-01-14,0.05993586050468758,-0.025135034928664313,-0.035962045185752745,-0.031111342819272636,2.858675670158739e-05,0.0093493017198778,-0.0009633104509402246,0.012249728214908995
2021-01-15,0.02383486563359294,-0.032625070603904516,-0.043796123971116985,-0.04019324217495457,-0.00011056762811656462,-0.0016670676517925864,-0.005623072617454539,0.004868063561806135
2021-01-19,0.025244484363459163,-0.02561689124006128,-0.034736373275796484,-0.03154316296549642,0.00016950268463777896,0.005768184385005037,-0.0019177136419679108,0.012758007324935594
2021-01-20,0.025459915490147145,-0.004980720449473841,0.00047276239180771285,-0.0056691411455295215,0.0008985332797479817,0.018927846692700756,0.004924357643420141,0.026773341273604867
2021-01-21,0.010986762549281215,0.0023988248320461203,0.018246472143861325,0.004051805728446656,0.0006495591142585688,0.019239906372266802,0.005108371341984164,0.027709409546615937
2021-01-22,-0.008132316405309759,-2.3271923704215602e-05,0.022740336673427564,0.0018135422907845644,0.0008630316634243851,0.01450594263468985,0.002986604013528016,0.024071930305876288
2021-01-25,-0.016116990611933724,0.005811180273713745,0.03731259419385502,0.009818961532762183,0.001079856067349283,0.017110903325673776,0.004403488840156733,0.028110631766295358
2021-01-26,-0.009239644665725688,0.009027367459923497,0.04533591153573657,0.013864456655989787,0.0014490763064984868,0.01917977777033264,0.005654772739449143,0.026505742887577233
2021-01-27,-0.026576963390080643,-0.00042431557902389283,0.033172645263015665,0.002656837675057089,0.0009294831226249745,0.001331402139847171,-0.0020053894074796297,0.0014176050803706985
2021-01-28,-0.014873566534508442,0.00037531541711888217,0.02954930354006624,0.0035308441402976953,0.000712967059543379,0.0086392468399763,0.000954083501120806,0.010029766374859417
2021-01-29,-0.04477247388479544,-0.011968012425851327,0.003818423880034505,-0.012910760306684033,0.000762600395376678,-0.009223947510362263,-0.006110463607111094,-0.010190658589264268
2021-02-01,-0.0190198463704363,0.0075529363138546746,0.03442815409658273,0.010918612418423068,0.0021803166917429007,0.009617189347447708,0.002646798664895922,0.006285405603134286
2021-02-02,-0.0024440277880073413,0.01082854918108711,0.04129861232259602,0.014888205300164215,0.002137609511590588,0.021994350382992023,0.005863526352886117,0.02051467797313622
2021-02-03,0.004130770846294096,0.005387419691425643,0.035214178914230176,0.008971940441903747,0.0015700379084706562,0.02311415231669689,0.004894575633801468,0.021317034732814433
2021-02-04,0.0011017136474698042,0.0059331505373525495,0.0454266656461062,0.010156376217108187,0.0017874199188361306,0.03033581775495464,0.005810491527061146,0.03292494768372589
2021-02-05,0.020244783610837702,0.008388096892740782,0.045907559506423556,0.01312893460682707,0.0020825021511712283,0.03592107831089231,0.00879523778542679,0.03699056680617341
2021-02-08,0.02496050525977367,0.008622464004376829,0.0434456717094871,0.013569237673334511,0.001803174622448056,0.04016539985154455,0.010558181020897672,0.044479463708985145
2021-02-09,0.03032736908586764,0.007834971835077198,0.04087922345654604,0.012559229168032982,0.002017238782319186,0.041676818261940474,0.011375661848135321,0.043783900800611564
2021-02-10,0.029242157917185096,0.006360520976279815,0.03590737759707374,0.010411606421216968,0.002990822129053994,0.041433734163364155,0.012182409258892468,0.04332945701464164
